iter,VESA,shannon,mean_std_fit,min_std_fit,max_std_fit,mean_var_fit,min_var_fit,max_var_fit,sum_fit,mean_fit
0.0,0.0,0.6803368801111205,0.12322122451183914,0.12309311324878454,0.12334933577489376,0.015183486582692791,0.015151914529278094,0.015215058636107488,1.2838635281132247,0.4279545093710749
1.0,0.0,0.0,0.1359574312122422,0.1359574312122422,0.1359574312122422,0.01848442310183157,0.01848442310183157,0.01848442310183157,0.5681585539790655,0.18938618465968848
2.0,0.0,0.0,0.13746177454013125,0.13746177454013125,0.13746177454013125,0.01889573945972188,0.01889573945972188,0.01889573945972188,0.592360464952052,0.19745348831735066
3.0,0.0,0.0,0.13426939204490038,0.13426939204490038,0.13426939204490038,0.018028269640107154,0.018028269640107154,0.018028269640107154,0.61651103254251,0.20550367751417
4.0,0.0,0.6803368801111205,0.15424139702517148,0.1311141736327512,0.17736862041759172,0.024325277018119484,0.017190926527399234,0.03145962750883973,1.4087669992943268,0.4695889997647756
5.0,0.0,0.0,0.13590793091719952,0.13590793091719952,0.13590793091719952,0.018470965686194274,0.018470965686194274,0.018470965686194274,0.726138655970677,0.24204621865689233
6.0,0.0,0.0,0.13319005274539888,0.13319005274539888,0.13319005274539888,0.017739590150322136,0.017739590150322136,0.017739590150322136,0.6665889778144827,0.22219632593816088
7.0,0.0,0.0,0.15466941127617762,0.15466941127617762,0.15466941127617762,0.023922626784519375,0.023922626784519375,0.023922626784519375,0.679734111673389,0.226578037224463
8.0,0.0,0.0,0.17228272003447057,0.17228272003447057,0.17228272003447057,0.029681335622475765,0.029681335622475765,0.029681335622475765,0.6872567922148578,0.2290855974049526
9.0,0.0,0.0,0.1807536204392808,0.1807536204392808,0.1807536204392808,0.032671871301907594,0.032671871301907594,0.032671871301907594,0.7075317081535074,0.2358439027178358
10.0,0.0,0.0,0.16309146688173481,0.16309146688173481,0.16309146688173481,0.026598826569636,0.026598826569636,0.026598826569636,0.711502820137976,0.23716760671265869
11.0,0.0,0.0,0.15751488153780402,0.14171473190423087,0.17331503117137717,0.02506058263431174,0.020083065238688032,0.030038100029935445,1.540790241774183,0.513596747258061
12.0,0.0,0.0,0.19498397644486684,0.19498397644486684,0.19498397644486684,0.03801875107025239,0.03801875107025239,0.03801875107025239,0.7897566699232711,0.26325222330775705
13.0,0.0,0.0,0.14535736914990638,0.09774177953981943,0.19297295875999332,0.023396009140098373,0.009553455467610664,0.03723856281258608,1.681348692569887,0.5604495641899624
14.0,0.0,0.0,0.21613399789341958,0.21613399789341958,0.21613399789341958,0.0467139050453927,0.0467139050453927,0.0467139050453927,0.8247646679060645,0.27492155596868817
15.0,0.0,0.0,0.20879259551665472,0.20879259551665472,0.20879259551665472,0.043594347942581387,0.043594347942581387,0.043594347942581387,0.86806152387078,0.28935384129026
16.0,0.0,0.0,0.21837347145422065,0.21837347145422065,0.21837347145422065,0.047686973034967314,0.047686973034967314,0.047686973034967314,0.7804640063834781,0.2601546687944927
17.0,0.0,0.0,0.22500946604390915,0.22500946604390915,0.22500946604390915,0.0506292598093651,0.0506292598093651,0.0506292598093651,0.7994676206635944,0.2664892068878648
18.0,0.0,0.0,0.21950621455515754,0.21950621455515754,0.21950621455515754,0.04818297822833485,0.04818297822833485,0.04818297822833485,0.7884452802581394,0.2628150934193798
19.0,0.0,0.0,0.2153950578318897,0.2153950578318897,0.2153950578318897,0.04639503093840311,0.04639503093840311,0.04639503093840311,0.8492793480030614,0.28309311600102044
20.0,0.0,0.0,0.21657651610764025,0.21657651610764025,0.21657651610764025,0.046905387329322965,0.046905387329322965,0.046905387329322965,0.7697583483288807,0.2565861161096269
21.0,0.0,0.0,0.17711426187532578,0.17711426187532578,0.17711426187532578,0.03136946175964148,0.03136946175964148,0.03136946175964148,0.8547322303065642,0.2849107434355214
22.0,0.0,0.0,0.1227083626588872,0.053389140476795126,0.19202758484097926,0.019862496830355222,0.0028504003208509633,0.036874593339859485,1.6551869347501085,0.5517289782500362
23.0,0.0,0.0,0.2098591836434678,0.2098591836434678,0.2098591836434678,0.04404087695950275,0.04404087695950275,0.04404087695950275,0.840180040717995,0.280060013572665
24.0,0.0,0.0,0.22166378441133425,0.22166378441133425,0.22166378441133425,0.04913483331955446,0.04913483331955446,0.04913483331955446,0.813333826617037,0.2711112755390123
25.0,0.0,0.0,0.2368327734326665,0.2368327734326665,0.2368327734326665,0.05608976257180875,0.05608976257180875,0.05608976257180875,0.7962798820965181,0.26542662736550604
26.0,0.0,0.0,0.18503947485904088,0.18503947485904088,0.18503947485904088,0.03423960725610962,0.03423960725610962,0.03423960725610962,0.6658374932051841,0.22194583106839472
27.0,0.0,0.0,0.16280556030021964,0.16280556030021964,0.16280556030021964,0.02650565046466845,0.02650565046466845,0.02650565046466845,0.70560198652641,0.23520066217547
28.0,0.0,0.0,0.18269113982020876,0.18269113982020876,0.18269113982020876,0.03337605256880707,0.03337605256880707,0.03337605256880707,0.7255711309433748,0.2418570436477916
29.0,0.0,0.0,0.19060629947092264,0.19060629947092264,0.19060629947092264,0.036330761397999047,0.036330761397999047,0.036330761397999047,0.8058319890388069,0.2686106630129356
30.0,0.0,0.0,0.2069786534764254,0.2069786534764254,0.2069786534764254,0.042840162994914194,0.042840162994914194,0.042840162994914194,0.7939157873133504,0.2646385957711168
31.0,0.0,0.0,0.19389915791532825,0.19389915791532825,0.19389915791532825,0.0375968834402734,0.0375968834402734,0.0375968834402734,0.8446141136753965,0.2815380378917988
